pair_id,label,weight,band_lo,band_hi,cross_outlet,emb_hl_body600,emb_hl_body200,emb_hl_only,tfidf_char35_hl_body1200,tfidf_char35_hl_only,tfidf_syl12_hl_body1200,jaccard_syl8_body3000,jaccard_syl5_body3000
02764103_6febfce5,1,92.8,0.9,0.92,1,0.9041582345962524,0.7448137998580933,0.5764669179916382,0.642313490102745,0.21749082219609148,0.48694817942576774,0.02536997885835095,0.05568181818181818
238a9260_391b8115,1,1411.0833333333333,0.8,0.85,1,0.8148153424263,0.8067854642868042,0.9999999403953552,0.8301885651466555,1.0000000000000002,0.8096288274385264,0.8338192419825073,0.8697674418604651
40c0fb6a_4f0fdd26,1,20.76,0.96,0.98,0,0.9684275388717651,0.932347297668457,0.501961350440979,0.5507498930591852,0.33071359138690015,0.5059498320498939,0.06661184210526316,0.08916083916083917
915c3d5a_f05d84a9,1,92.8,0.9,0.92,1,0.9111113548278809,0.7191727757453918,0.6083053946495056,0.8631903235826724,0.46861774002778156,0.9161936134468934,0.5488721804511278,0.6255144032921811
665ce129_2eb731b0,0,21.96,0.98,1.01,0,0.9964756369590759,0.9875285029411316,0.7157186269760132,0.976735076927137,0.4277672908091118,0.9866236400365388,0.8809523809523809,0.8611111111111112
c9abcf20_a2dd1a87,0,52.56666666666667,0.92,0.94,1,0.9318446516990662,0.8564481735229492,0.6098259091377258,0.4808286269961033,0.07255093753722931,0.31487795352608294,0.0,0.001635322976287817
270cab5f_ffdd6072,1,52.56666666666667,0.92,0.94,1,0.9350165128707886,0.7996338605880737,0.6904852986335754,0.8921294846453528,0.4255338436610313,0.8945585728201056,0.7623626373626373,0.8123209169054442
093a83a5_23e3ba92,1,21.96,0.98,1.01,1,1.0000001192092896,1.0,1.0,1.000000000000002,1.0,1.0000000000000007,1.0,1.0
5ba2c035_83819e62,0,3423.375,0.75,0.8,1,0.7807701826095581,0.7578543424606323,0.6015501022338867,0.37156481017360143,0.46319890886850684,0.20006831793312022,0.0,0.0033444816053511705
67943f2b_7f3384d0,1,31.933333333333334,0.94,0.96,1,0.9520106315612793,0.9289557337760925,0.7935130000114441,0.9443513331713356,0.776928873237537,0.980897710801733,0.5538461538461539,0.5922671353251318
746b688e_45aae5ae,1,31.933333333333334,0.94,0.96,1,0.954480767250061,0.9224727749824524,0.956683874130249,0.9392272899505871,0.8302932112181037,0.8618780960092347,0.24770642201834864,0.3617021276595745
b5e8b7ae_54b1cd8e,1,31.933333333333334,0.94,0.96,1,0.9553775191307068,0.9036693572998047,0.8079665303230286,0.8350150292526602,0.5103665136652802,0.8499773058645286,0.3284313725490196,0.4192708333333333
2456140f_7b92d242,1,20.76,0.96,0.98,1,0.9609383344650269,0.9719462990760803,0.9675782322883606,0.5356595869428459,0.8843727142512188,0.3379915950741545,0.002570694087403599,0.01703800786369594
e023247b_9c753c3a,0,330.5,0.85,0.88,0,0.8589946031570435,0.8338335752487183,0.7052522897720337,0.5749412093571585,0.686282772268746,0.5656428803884982,0.01443001443001443,0.04573170731707317
af6160d1_3677ae1a,0,3423.375,0.75,0.8,0,0.7634446620941162,0.6817241907119751,0.694150447845459,0.24105885447936207,0.5718674812565229,0.1611338228574017,0.0,0.008492569002123142
1902cf67_bb7ed444,1,31.933333333333334,0.94,0.96,0,0.9575642347335815,0.7998221516609192,0.6678364276885986,0.8184935709023112,0.10627441127268568,0.7535930704771864,0.3246753246753247,0.4063926940639269
fb7ec28f_7b698368,1,131.32,0.88,0.9,1,0.8972741365432739,0.8907655477523804,0.860929012298584,0.7774431076196142,0.6450232535541958,0.6517029348972535,0.050505050505050504,0.09970674486803519
4d90eeaa_dbb339a2,0,52.56666666666667,0.92,0.94,0,0.9383079409599304,0.8848345279693604,0.9644257426261902,0.58802799794228,0.7585372602324041,0.644408449494682,0.25681818181818183,0.33251231527093594
ce20dae1_b08912d3,1,21.96,0.98,1.01,0,0.9999998807907104,0.9999998807907104,0.9999999403953552,0.9999999999999971,1.0000000000000004,1.0000000000000013,1.0,1.0
e609df56_f8ba72b2,1,131.32,0.88,0.9,1,0.880445122718811,0.7535008192062378,0.5569726824760437,0.6448884711704329,0.20092958496850688,0.646189657961142,0.17415730337078653,0.2484472049689441
edcac90f_d9c5d414,0,92.8,0.9,0.92,1,0.9054449796676636,0.8768859505653381,0.87103271484375,0.43910685054722,0.5327149086085197,0.271991563882732,0.03137254901960784,0.052486187845303865
8ee68c8d_e3e01125,1,131.32,0.88,0.9,1,0.886885404586792,0.8943193554878235,0.8534966707229614,0.7032616846483624,0.6365337367859866,0.48539332790804607,0.002551020408163265,0.018134715025906734
1c29f206_1a9911a3,0,131.32,0.88,0.9,0,0.8841184973716736,0.6971413493156433,0.6062379479408264,0.347748321487843,0.2601465415674345,0.17607635179638775,0.0,0.0
b560b018_ae6fc52c,1,21.96,0.98,1.01,1,1.0000001192092896,1.0,1.0,0.9957138863880654,0.9999999999999996,0.9962413692851957,0.922077922077922,0.9222222222222223
64e35b1a_d11d56b6,1,92.8,0.9,0.92,1,0.9043846130371094,0.8009964823722839,0.6674898862838745,0.40776474974720767,0.10480760034441483,0.26263196714139964,0.0,0.002178649237472767
800d7ea4_4868d06b,1,52.56666666666667,0.92,0.94,1,0.930946409702301,0.8589367866516113,0.8672244548797607,0.5380297820446579,0.30373701136749515,0.4281388175031725,0.01014832162373146,0.021035598705501618
6ff65a6a_56f416f6,1,31.933333333333334,0.94,0.96,1,0.9508703351020813,0.8485089540481567,0.3727761507034302,0.6252023707562346,0.09457741518806527,0.5840559012151647,0.07056798623063683,0.12720519962859797
73f796c6_9648e999,0,1411.0833333333333,0.8,0.85,1,0.8052432537078857,0.7479090690612793,0.7334225177764893,0.4601520337766551,0.5078204756769548,0.2811613316385761,0.0,0.0016625103906899418
98384c84_465d85df,1,92.8,0.9,0.92,1,0.9116424918174744,0.9124153852462769,0.854693591594696,0.8176883932807888,0.23602858312019553,0.7415655919104766,0.07103064066852367,0.11935953420669577
fcee0c92_5ceeb6a9,1,92.8,0.9,0.92,1,0.9092168807983398,0.6206350922584534,0.21660976111888885,0.4453985533620201,0.0015207301400490647,0.2910368522551866,0.02030008826125331,0.029304029304029304
8aad1ecf_a055f368,1,92.8,0.9,0.92,1,0.9055124521255493,0.7301958799362183,0.23828458786010742,0.9193245217313509,0.012539482059867059,0.9225686572144595,0.7455295735900963,0.7935578330893118
7f20bb9a_203a7fcb,1,20.76,0.96,0.98,1,0.9604058861732483,0.881177544593811,0.974339485168457,0.8944243961481254,1.0000000000000002,0.8318959917674917,0.1534090909090909,0.2795031055900621
3417ce70_ceeb9175,1,20.76,0.96,0.98,1,0.968003511428833,0.9110774993896484,0.9999999403953552,0.9840694905045657,1.0,0.9836305347857297,0.843520782396088,0.8862433862433863
a60c1b35_840532bb,1,5641.375,0.7,0.75,1,0.7156550884246826,0.6057374477386475,0.4495972990989685,0.6729322006888172,0.10911292696652763,0.48549545967678287,0.05721393034825871,0.11325724319578578
0b25deb0_b3dc3c5c,1,330.5,0.85,0.88,1,0.8605936765670776,0.8095122575759888,0.8272498250007629,0.46996463968684843,0.3738376000723137,0.3332196071450735,0.003079291762894534,0.011618900077459334
59fef842_eeab3a26,0,3423.375,0.75,0.8,1,0.7598462104797363,0.6663941740989685,0.6346251368522644,0.5215300719881681,0.23946139094656002,0.19165067181761317,0.0,0.0015432098765432098
76b676be_a0391c5a,1,92.8,0.9,0.92,1,0.9027115106582642,0.9205777049064636,0.8911401033401489,0.570205350915688,0.7379320758972219,0.36615694782347585,0.0,0.0108499095840868
8d0b007c_41ada378,1,20.76,0.96,0.98,1,0.9727069139480591,0.9758771657943726,1.000000238418579,0.9239891657516758,1.0000000000000007,0.9551644010562151,0.8990228013029316,0.9134438305709024
0fb66462_d7b1ba4f,1,52.56666666666667,0.92,0.94,1,0.9282426834106445,0.9102488160133362,0.67638099193573,0.5800461393809333,0.5596844695139895,0.37142519008962693,0.0,0.01384083044982699
0b381374_e95accc9,1,31.933333333333334,0.94,0.96,1,0.9533385038375854,0.8978270292282104,0.7134332060813904,0.876971813388454,0.5316871189987796,0.7054942818481984,0.11072362685265912,0.16527390900649955
b27e113c_a1a060ed,0,330.5,0.85,0.88,0,0.8501728177070618,0.816295862197876,0.8127184510231018,0.30463139006666184,0.39877192627642116,0.22955920851717732,0.0,0.0024958402662229617
d7443252_f7b824cc,1,20.76,0.96,0.98,1,0.9748681783676147,0.9541058540344238,0.9245823621749878,0.9542284814154371,0.6777461805698459,0.9709537350082006,0.6449136276391555,0.7368421052631579
ec69729b_522755a3,0,5641.375,0.7,0.75,1,0.7274230718612671,0.5874658823013306,0.38369420170783997,0.32037350091684064,0.16055621657381916,0.2038704554461599,0.0,0.0
690c0586_d183c638,1,31.933333333333334,0.94,0.96,1,0.9564905166625977,0.9280251264572144,0.9260598421096802,0.6194129842879305,0.9012333817849087,0.5383183244144095,0.03103448275862069,0.05368289637952559
39626a72_a9210d99,0,1411.0833333333333,0.8,0.85,1,0.8284991383552551,0.8720818758010864,0.7626240253448486,0.3145639488774542,0.42066048684029167,0.10474665474199975,0.0,0.0019011406844106464
075dec72_dfeba23b,1,31.933333333333334,0.94,0.96,1,0.9568488597869873,0.9307644367218018,0.7886976003646851,0.8725829977381427,0.6224002108255233,0.8399637313560627,0.43271461716937354,0.5285714285714286
20f91487_30d57789,1,92.8,0.9,0.92,1,0.904411792755127,0.8570136427879333,0.711740255355835,0.6943343972469945,0.4833300720701814,0.4327981633999838,0.0,0.006910167818361303
92d5b59d_40428b39,1,20.76,0.96,0.98,1,0.972567081451416,0.8777064085006714,0.42928606271743774,0.965511910346308,0.48112429672965734,0.94029190500802,0.771545827633379,0.8283261802575107
89c4efe8_0c0e3618,1,31.933333333333334,0.94,0.96,1,0.9401347637176514,0.9150148630142212,0.7502633333206177,0.7621486239126343,0.5550579844428906,0.6806066677779445,0.075,0.13452914798206278
e7f2f93e_3595dd09,1,330.5,0.85,0.88,1,0.8723044991493225,0.8027850985527039,0.6761980652809143,0.5584243093627893,0.6112271226927106,0.4882554128942736,0.008620689655172414,0.031047865459249677
6c434ca0_1c868137,1,31.933333333333334,0.94,0.96,1,0.9465820789337158,0.8541148900985718,0.8791008591651917,0.8276930136134415,0.7813007971333573,0.8518140090919765,0.7272727272727273,0.8045234248788369
320c4e1a_51770a6a,1,21.96,0.98,1.01,1,0.9816132187843323,0.9844247102737427,0.9999999403953552,0.98037025360655,0.9999999999999994,0.9867487484601539,0.968421052631579,0.9765258215962441
21329469_095b6636,1,131.32,0.88,0.9,1,0.8931693434715271,0.8116662502288818,0.9469667673110962,0.7086147456314995,0.5101834799503079,0.6744594756362391,0.09113300492610837,0.17204301075268819
